method,n_best,cosine_similarity,jaccard_similarity
gsdmm,5,0.3865784090909092,0.09834905737927815
gsdmm,10,0.37205113636363635,0.08496022771015103
gsdmm,15,0.3659380681818179,0.07775721963563692
gsdmm,20,0.36427215909090904,0.07492962283655824
gsdmm,25,0.36293125,0.07272216501031369
gsdmm,30,0.361684659090909,0.06904111518627137
gsdmm,35,0.35925397727272723,0.06519089938827861
gsdmm,40,0.3581386363636365,0.06637963619255434
lda,5,0.3427556818181818,0.0014952153110047847
lda,10,0.3399545454545453,0.001311188811188811
lda,15,0.3372892045454545,0.002998819907214506
lda,20,0.3360948863636364,0.002165029063763242
lda,25,0.33295397727272724,0.0033369408369408366
lda,30,0.3312897727272729,0.0028235099895119876
lda,35,0.3309630681818181,0.0029490501248924422
lda,40,0.3303846590909092,0.004015430754663044
mpr,5,0.3752090909090908,0.07701474118659069
mpr,10,0.3677238636363636,0.07954955711320438
mpr,15,0.3647517045454546,0.0812162978576551
mpr,20,0.3623943181818181,0.08330490530469423
mpr,25,0.36066988636363634,0.08488591844824599
mpr,30,0.35889602272727267,0.0861877611860732
mpr,35,0.35799204545454527,0.08777273628539944
mpr,40,0.3571767045454544,0.0877384359086964
rake,5,0.3141204545454545,0.015635095898253803
rake,10,0.31737954545454566,0.022033790338707202
rake,15,0.31725568181818165,0.025344450526555016
rake,20,0.3184306818181818,0.02714007997967497
rake,25,0.3194886363636366,0.027813875849141887
rake,30,0.3205551136363638,0.028712092262298053
rake,35,0.3214835227272727,0.028698705049274433
rake,40,0.3221159090909091,0.028284692396783218
tfidf,5,0.32608181818181803,0.0006313131313131313
tfidf,10,0.3276500000000001,0.0005980861244019139
tfidf,15,0.3273704545454547,0.0017633228840125395
tfidf,20,0.32805568181818184,0.0029214206845785805
tfidf,25,0.32965738636363634,0.0030296451269095663
tfidf,30,0.3306335227272727,0.0034908290131843603
tfidf,35,0.33096931818181796,0.004635990220737949
tfidf,40,0.33125454545454547,0.005058787537135302
tpr,5,0.3782301136363637,0.09321030796913657
tpr,10,0.3697789772727273,0.09634277746271284
tpr,15,0.3642750000000001,0.09699597320510227
tpr,20,0.361524431818182,0.09519918049807008
tpr,25,0.3599562499999998,0.09691938678928452
tpr,30,0.3583375,0.09811365445922422
tpr,35,0.35705340909090916,0.09797872058631042
tpr,40,0.3564579545454546,0.09946213160397357
